Title,Author,Year,Country,Region,Continent,Read,OriginalLanguage,Pages,Description,Tags,Category
Buddhacarita,Asvaghosa,100,India,Southern Asia,Asia,,Sanskrit,240,A book from India.,,Long verse
Manimekalai,Sattanar,600,India,Southern Asia,Asia,,Tamil,320,A book from India.,,Long verse
Pearl,Anonymous,1400,England,Northern Europe,Europe,,Middle English,80,A book from England.,,Long verse
Khosrow and Shirin,Nizami Ganjavi,1180,Azerbaijan,Western Asia,Asia,,Persian,320,A book from Azerbaijan.,,Long verse
The Seven Beauties,Nizami Ganjavi,1197,Azerbaijan,Western Asia,Asia,,Persian,320,A book from Azerbaijan.,,Long verse
The Burda,Al-Busiri,1290,Egypt,Northern Africa,Africa,,Arabic,49,A book from Egypt.,,Long verse
The Solitudes,Luis de Gongora,1613,Spain,Southern Europe,Europe,,Spanish,160,A book from Spain.,,Long verse
First Dream,Sor Juana Ines de la Cruz,1692,Mexico,Central America,North America,,Spanish,64,A book from Mexico.,,Long verse
The Rape of the Lock,Alexander Pope,1714,England,Northern Europe,Europe,,English,80,A book from England.,,Long verse
Beauty and Love,Seyh Galib,1783,Turkey,Western Asia,Asia,,Ottoman Turkish,240,A book from Turkey.,,Long verse
Hermann and Dorothea,Johann Wolfgang von Goethe,1797,Germany,Western Europe,Europe,,German,160,A book from Germany.,,Long verse
In Parenthesis,David Jones,1937,UK,Northern Europe,Europe,,English,224,A book from Wales.,,Long verse
The Anathemata,David Jones,1952,UK,Northern Europe,Europe,,English,240,A book from Wales.,,Long verse
The Axion Esti,Odysseas Elytis,1959,Greece,Southern Europe,Europe,,Greek,112,A book from Greece.,,Long verse
Helen in Egypt,H.D.,1961,USA,Northern America,North America,,English,320,A book from USA.,,Long verse
Briggflatts,Basil Bunting,1966,UK,Northern Europe,Europe,,English,96,A book from England.,,Long verse
The Book of Nightmares,Galway Kinnell,1971,USA,Northern America,North America,,English,88,A book from USA.,,Long verse
The Maximus Poems,Charles Olson,1975,USA,Northern America,North America,,English,660,A book from USA.,,Long verse
The Changing Light at Sandover,James Merrill,1982,USA,Northern America,North America,,English,560,A book from USA.,,Long verse
Garbage,A. R. Ammons,1993,USA,Northern America,North America,,English,128,A book from USA.,,Long verse
Enuma Elish,Anonymous,1100 BC,Iraq,Western Asia,Asia,,Akkadian,80,A book from Iraq.,,Long verse
The Epic of Gilgamesh,Anonymous,2100 BC,Iraq,Western Asia,Asia,1,Akkadian,128,A book from Iraq.,,Long verse
Atrahasis,Anonymous,1700 BC,Iraq,Western Asia,Asia,,Akkadian,160,"The Epic of Atrahasis is the fullest Mesopotamian account of the Great Flood, but it offers more. The conditions immediately after the Creation, when the Lower Gods have to work very hard, and complain. 

The text is known from several versions: two were written by Assyrian scribes (one in the Assyrian, one in the Babylonian dialect), a third one (on three tablets) was written during the reign of king Ammi-saduqa of Babylonia (1647-1626 BCE). Parts are quoted in Tablet XI of the Epic of Gilgameš; other influences are in the Babylonian History by Berossus.",,Long verse
The Book of Job,Anonymous,500 BC,Israel,Western Asia,Asia,,Hebrew,64,A book from Israel.,,Long verse
The Iliad,Homer,750 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,560,A book from Greece.,,Long verse
The Odyssey,Homer,725 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,400,A book from Greece.,,Long verse
Theogony,Hesiod,700 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Long verse
