País,Descrição,Idioma
África do Sul,"The Smell of Apples, by Mark Behr",Afrikaans
África do Sul,"A Dry White Season, by André Brink",Inglês
África do Sul,"Disgrace, by J M Coetzee",Inglês
África do Sul,"Life and times of Michael K, by J M Coetzee",Inglês
África do Sul,"Burgher's Daughter, by Nadine Gordimer",Inglês
África do Sul,"July's People, by Nadine Gordimer",Inglês
África do Sul,"Cry, the Beloved Country, by Alan Paton",Inglês
Albânia,"Broken April, by Ismail Kadare",Albanês
Albânia,"The General of the Dead, by Ismail Kadare",Albanês
Alemanha,"The Grand Hotel, by Vicki Baum",Alemão
Alemanha,"Jacob the Liar, by Jurek Becker",Alemão
Alemanha,"Billiards at half past nine, by Heinrich Böll",Alemão
Alemanha,"The Lost Honour of Katharina Blum, by Heinrich Böll",Alemão
Alemanha,"Berlin Alexanderplatz, by Alfred Döblin",Alemão
Alemanha,"The Life of a Good-for-nothing, by Joseph von Eichendorff",Alemão
Alemanha,"Every Man Dies Alone, by Hans Fallada",Alemão
Alemanha,"The Oppermanns, by Lion Feuchtwanger",Alemão
Alemanha,"Effi Breast, by Theodor Fontane",Alemão
Alemanha,"On Tangled Paths, by Theodor Fontane",Alemão
Alemanha,"Elective Affinities, by Goethe",Alemão
Alemanha,"The Sorrows of Young Werther, by Goethe",Alemão
Alemanha,"William Meister's Apprentice, by Goethe",Alemão
Alemanha,"The Tin Drum, by Gunther Grass",Alemão
Alemanha,"The Adventures of Simplicius Simplicissimus, by Hans von Grimmelshausen",Alemão
Alemanha,"Blood Brothers, by Ernst Haffner",Alemão
Alemanha,"Steppenwolf, by Herman Hesse",Alemão
Alemanha,"The Glass Bead Game, by Herman Hesse",Alemão
Alemanha,"The Life and Opinions of the Tomcat Murr, by E T A Hoffmann",Alemão
Alemanha,"Essays and Letters, by Friedrich Hölderlin",Alemão
Alemanha,"Storm of Steel, by Ernst Jünger",Alemão
Alemanha,"The Artificial Silk Girl, by Irmgard Keun",Alemão
Alemanha,"The Stalin Front (Organ), by Gert Ledig",Alemão
Alemanha,"Man of Straw, by Heinrich Mann",Alemão
Alemanha,"Professor Unrat, by Heinrich Mann",Alemão
Alemanha,"Mephisto, by Klaus Mann",Alemão
Alemanha,"Buddenbrooks, by Thomas Mann",Alemão
Alemanha,"Death in Venice, by Thomas Mann",Alemão
Alemanha,"Doctor Faustus, by Thomas Mann",Alemão
Alemanha,"The Magic Mountain, by Thomas Mann",Alemão
Alemanha,"Animal Triste, by Monika Maron",Alemão
Alemanha,"The Golem, by Gustav Meyrink",Alemão
Alemanha,"Mozart's Journey to Prague, by Eduard Mörike",Alemão
Alemanha,"The Land of Green Plums, by Herta Müller",Alemão
Alemanha,"All Quiet on the Western Front, by Erich Maria Remarque",Alemão
Alemanha,"Austerlitz, by W G Sebald",Alemão
Alemanha,"The Rings of Saturn, by W G Sebald",Alemão
Alemanha,"The Seventh Cross, by Anna Seghers",Alemão
Alemanha,"Transit, by Anna Seghers",Alemão
Alemanha,"The Rider on the White Horse, by Theodor Storm",Alemão
Alemanha,"The Forty Days of Musa Dagh, by Franz Werfel",Alemão
Alemanha,"Kassandra, by Christa Wolf",Alemão
Angola,"O Vendedor de Passados , by José Eduardo Agualusa",Português
Angola,"A Geração da Utopia, by Pepetela",Português
Angola,"Mayombe, by Pepetela",Português
Angola,"Luuanda, by José Luandino Vieira",Português
Antigua,"Annie John, by Jamaica Kincaid",Inglês
Argélia,"Fantasia, an Algerian Cavalcade, by Assia Djebar",Francês
Argélia,"Nedjma, by Kateb Yacine",Francês
Argentina,"The Seven Madmen, by Roberto Arlt",Espanhol
Argentina,"Zama, by Antonio di Benedetto",Espanhol
Argentina,"The Invention of Morel, by Adolfo Bioy Casares",Espanhol
Argentina,"Rayuela, by Julio Cortázar",Espanhol
Argentina,"Don Segundo Sombra, by Ricardo Guiraldes",Espanhol
Argentina,"Martín Fierro, by José Hernández",Espanhol
Argentina,"Santa Evita, by Tomas Eloy Martinez",Espanhol
Argentina,"Respiracion Artificial, by Ricardo Piglia",Espanhol
Argentina,"The Kiss of the Spider Woman, by Manuel Puig",Espanhol
Argentina,"On Heroes and Tombs, by Ernesto Sábato",Espanhol
Argentina,"The Tunnel, by Ernesto Sábato",Espanhol
Argentina,"The Witness, by Juan José Saer",Espanhol
Argentina,"Facundo, by Domingo Sarmiento",Espanhol
Austrália,"Tirra Lirra by the River, by Jessica Anderson",Inglês
Austrália,"Oscar and Lucinda, by Peter Carey",Inglês
Austrália,"My Brilliant Career, by Miles Franklin",Inglês
